"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"买入","SQQQ","三倍做空纳指ETF-ProShares","23.75","50","1,187.50","全部成交","50@23.75","2025/05/14 11:28:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","24.20","100","2,420.00","全部成交","100@24.20","2025/05/13 16:04:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.07","0.02","","2.38"
"买入","SQQQ","三倍做空纳指ETF-ProShares","23.95","50","1,197.50","全部成交","50@23.95","2025/05/13 12:44:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.00","50","1,200.00","已撤单","0@0.00","2025/05/13 12:36:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.03","50","1,201.50","已撤单","0@0.00","2025/05/13 12:29:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.03","50","1,201.50","已撤单","0@0.00","2025/05/13 11:48:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.10","50","1,205.00","全部成交","50@24.10","2025/05/13 11:26:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.27","50","1,213.50","已撤单","0@0.00","2025/05/13 10:19:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.67","50","1,233.50","全部成交","50@24.67","2025/05/13 09:57:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.85","50","1,242.50","全部成交","50@24.85","2025/05/13 09:36:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","24.90","50","1,245.00","已撤单","0@0.00","2025/05/13 08:30:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.25","50","1,262.50","已撤单","0@0.00","2025/05/13 08:22:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.25","50","1,262.50","已撤单","0@0.00","2025/05/13 08:20:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","SOXS","三倍做空半导体ETF-Direxion","12.80","300","3,840.00","全部成交","300@12.80","2025/05/12 13:26:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.47","1.5","0.9","","","","","0.11","0.05","","4.03"
"买入","SOXS","三倍做空半导体ETF-Direxion","12.31","100","1,231.00","全部成交","100@12.31","2025/05/12 13:06:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SOXS","三倍做空半导体ETF-Direxion","12.46","100","1,246.00","已撤单","0@0.00","2025/05/12 12:18:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SOXS","三倍做空半导体ETF-Direxion","12.55","100","1,255.00","全部成交","100@12.55","2025/05/12 12:10:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SOXS","三倍做空半导体ETF-Direxion","12.63","100","1,263.00","全部成交","100@12.63","2025/05/12 12:03:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SOXS","三倍做空半导体ETF-Direxion","12.63","400","5,052.00","已撤单","0@0.00","2025/05/12 12:03:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.16","150","3,774.00","已撤单","0@0.00","2025/05/12 07:07:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.22","50","1,261.00","全部成交","50@25.22","2025/05/12 06:59:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.22","100","2,522.00","已撤单","0@0.00","2025/05/12 06:34:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.45","50","1,272.50","全部成交","50@25.45","2025/05/12 03:26:34 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.53","100","2,553.00","全部成交","100@25.53","2025/05/12 03:24:35 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.61","50","1,280.50","全部成交","50@25.61","2025/05/12 03:21:22 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SOXS","三倍做空半导体ETF-Direxion","13.26","100","1,326.00","已撤单","0@0.00","2025/05/12 03:16:47 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","25.68","50","1,284.00","全部成交","50@25.68","2025/05/12 03:10:25 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SOXS","三倍做空半导体ETF-Direxion","14.35","100","1,435.00","已撤单","0@0.00","2025/05/12 02:51:03 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","26.90","50","1,345.00","全部成交","50@26.90","2025/05/12 01:54:19 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","27.00","50","1,350.00","已撤单","0@0.00","2025/05/11 21:07:37 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","27.10","50","1,355.00","已撤单","0@0.00","2025/05/11 21:04:35 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.20","100","2,820.00","已撤单","0@0.00","2025/05/09 10:08:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","27.80","100","2,780.00","已撤单","0@0.00","2025/05/08 12:42:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","27.87","100","2,787.00","已撤单","0@0.00","2025/05/08 11:44:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.22","100","2,822.00","已撤单","0@0.00","2025/05/08 05:42:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.30","50","1,415.00","全部成交","50@28.30","2025/05/08 05:32:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.40","50","1,420.00","全部成交","50@28.40","2025/05/08 04:31:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.62","50","1,431.00","全部成交","50@28.62","2025/05/07 23:29:19 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.62","50","1,431.00","已撤单","0@0.00","2025/05/07 23:25:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.80","50","1,440.00","全部成交","50@28.80","2025/05/07 23:04:53 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","JD","京东","33.10","50","1,655.00","已撤单","0@0.00","2025/05/07 09:28:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","JD","京东","33.60","50","1,680.00","已撤单","0@0.00","2025/05/07 01:17:34 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.40","100","2,940.00","全部成交","100@29.40","2025/05/06 11:03:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.75","100","2,975.00","全部成交","100@29.75","2025/05/06 01:53:24 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.3","","","","","0.08","0.02","","2.39"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.68","100","2,968.00","全部成交","100@29.68","2025/05/06 01:50:08 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.3","","","","","0.08","0.02","","2.39"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.62","200","5,924.00","全部成交","200@29.62","2025/05/05 21:47:32 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.6","","","","","0.16","0.04","","2.79"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.58","200","5,916.00","全部成交","200@29.58","2025/05/05 20:30:20 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.6","","","","","0.17","0.04","","2.8"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.70","100","2,870.00","已撤单","0@0.00","2025/05/05 12:45:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.86","100","2,886.00","全部成交","100@28.86","2025/05/05 12:02:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.55","200","5,910.00","已撤单","0@0.00","2025/05/05 07:59:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.35","100","2,935.00","全部成交","100@29.35","2025/05/04 21:47:00 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.3","","","","","0.08","0.02","","2.39"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","29.12","280","8,153.60","全部成交","280@29.12","2025/05/04 21:12:06 (美东)","限价单","当日有效","","全时段","","","美股","USD","","1.37","1.4","0.84","","","","","0.23","0.05","","3.89"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.40","80","2,272.00","全部成交","80@28.40","2025/05/02 12:01:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.24","","","","","","","","2.23"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.70","100","2,870.00","全部成交","100@28.70","2025/05/02 10:16:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.76","100","2,876.00","全部成交","100@28.76","2025/05/02 10:16:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.77","100","2,877.00","已撤单","0@0.00","2025/05/02 10:11:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.83","100","2,883.00","全部成交","100@28.83","2025/05/02 10:04:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.90","100","2,890.00","全部成交","100@28.90","2025/05/02 09:40:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.90","100","2,890.00","已撤单","0@0.00","2025/05/02 09:32:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.90","100","2,890.00","已撤单","0@0.00","2025/05/02 09:30:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.50","100","2,850.00","已撤单","0@0.00","2025/05/02 09:05:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.08","100","2,908.00","已撤单","0@0.00","2025/05/02 08:51:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.15","100","2,915.00","已撤单","0@0.00","2025/05/02 08:38:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SOXS","三倍做空半导体ETF-Direxion","18.25","100","1,825.00","已撤单","0@0.00","2025/05/02 06:23:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AVGO","博通","199.88","10","1,998.80","已撤单","0@0.00","2025/05/02 06:10:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","42.00","10","420.00","已撤单","0@0.00","2025/05/01 21:50:34 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.82","100","2,882.00","已撤单","0@0.00","2025/05/01 11:18:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","28.93","100","2,893.00","全部成交","100@28.93","2025/05/01 11:14:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.02","100","2,902.00","全部成交","100@29.02","2025/05/01 10:57:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.15","50","1,457.50","全部成交","50@29.15","2025/05/01 10:46:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.20","50","1,460.00","全部成交","50@29.20","2025/05/01 10:43:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.28","100","2,928.00","已撤单","0@0.00","2025/05/01 08:10:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.35","50","1,467.50","全部成交","50@29.35","2025/05/01 05:49:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","29.50","50","1,475.00","全部成交","50@29.50","2025/04/30 20:07:27 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","32.95","100","3,295.00","已撤单","0@0.00","2025/04/28 13:31:23 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","32.90","300","9,870.00","全部成交","300@32.90","2025/04/28 13:28:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.47","1.5","0.9","","","","","0.27","0.05","","4.19"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","32.80","370","12,136.00","全部成交","370@32.80","2025/04/28 13:26:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.81","1.85","1.11","","","","","0.34","0.06","","5.17"
"买入","00981","中芯国际","45.40","1,000","45,400.00","全部成交","1,000@45.40","2025/04/28 15:18:59 (香港)","限价单","当日有效","允许","","","","港股","HKD","","13.62","15","2","46","2.57","1.23","0.07","","","","80.49"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","32.20","320","10,304.00","已撤单","0@0.00","2025/04/25 15:21:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","31.85","70","2,229.50","全部成交","70@31.85","2025/04/25 14:22:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.21","","","","","","","","2.2"
"买入","SQQQ","三倍做空纳指ETF-ProShares","31.53","60","1,891.80","已撤单","0@0.00","2025/04/25 13:27:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","31.62","100","3,162.00","全部成交","100@31.62","2025/04/25 13:18:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","31.78","100","3,178.00","全部成交","100@31.78","2025/04/25 13:16:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖空","NVDA","英伟达","110.06","20","2,201.20","全部成交","20@110.08","2025/04/25 12:36:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","0.06","0.01","","2.12"
"卖出","SOXL","三倍做多半导体ETF-Direxion","12.20","100","1,220.00","全部成交","100@12.20","2025/04/25 12:35:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.03","0.02","","2.34"
"卖空","NVDA","英伟达","109.50","30","3,285.00","全部成交","30@109.50","2025/04/25 12:26:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","0.09","0.01","","2.18"
"买入","SQQQ","三倍做空纳指ETF-ProShares","32.20","100","3,220.00","全部成交","100@32.20","2025/04/25 12:25:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","NVDA","英伟达","111.20","100","11,120.00","全部成交","100@111.20","2025/04/25 12:08:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖空","NVDA","英伟达","109.40","25","2,735.00","已撤单","0@0.00","2025/04/25 11:41:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","NVDA","英伟达","109.10","10","1,091.00","全部成交","10@109.10","2025/04/25 11:37:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖空","NVDA","英伟达","108.95","20","2,179.00","全部成交","20@108.95","2025/04/25 11:23:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","0.06","0.01","","2.12"
"买入","SQQQ","三倍做空纳指ETF-ProShares","32.40","100","3,240.00","全部成交","100@32.40","2025/04/25 11:15:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","32.55","50","1,627.50","全部成交","50@32.55","2025/04/25 10:49:23 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖空","NVDA","英伟达","108.50","10","1,085.00","全部成交","10@108.50","2025/04/25 10:41:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖空","NVDA","英伟达","108.35","10","1,083.50","全部成交","10@108.35","2025/04/25 10:39:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖出","NVDA","英伟达","108.20","10","1,082.00","全部成交","10@108.20","2025/04/25 10:38:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"买入","GLD","黄金ETF-SPDR","300.60","55","16,533.00","已撤单","0@0.00","2025/04/25 09:35:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","00981","中芯国际","44.40","500","22,200.00","已撤单","0@0.00","2025/04/25 13:16:10 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00981","中芯国际","44.50","500","22,250.00","已撤单","0@0.00","2025/04/25 13:15:42 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","31.80","50","1,590.00","已撤单","0@0.00","2025/04/25 00:09:07 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","32.00","50","1,600.00","全部成交","50@32.00","2025/04/24 23:42:57 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","32.20","50","1,610.00","已撤单","0@0.00","2025/04/24 19:12:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.35","100","3,335.00","已撤单","0@0.00","2025/04/24 11:14:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.62","150","5,043.00","全部成交","150@33.62","2025/04/24 10:37:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.45","","","","","","","","2.44"
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.65","25","841.25","全部成交","25@33.65","2025/04/24 10:29:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.90","25","847.50","全部成交","25@33.90","2025/04/24 10:08:51 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","SQQQ","三倍做空纳指ETF-ProShares","34.08","25","852.00","全部成交","25@34.08","2025/04/24 10:02:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","SQQQ","三倍做空纳指ETF-ProShares","34.40","25","860.00","全部成交","25@34.40","2025/04/24 09:40:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","00981","中芯国际","45.00","500","22,500.00","已撤单","0@0.00","2025/04/24 14:33:16 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00981","中芯国际","44.80","500","22,400.00","已撤单","0@0.00","2025/04/24 11:17:14 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","35.80","50","1,790.00","全部成交","50@35.80","2025/04/23 15:05:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.05","0.01","","2.2"
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.40","50","1,670.00","已撤单","0@0.00","2025/04/23 10:36:46 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.55","50","1,677.50","全部成交","50@33.55","2025/04/23 10:26:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.70","20","674.00","全部成交","20@33.70","2025/04/23 09:50:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"买入","SQQQ","三倍做空纳指ETF-ProShares","33.90","20","678.00","全部成交","20@33.90","2025/04/23 09:38:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"买入","SQQQ","三倍做空纳指ETF-ProShares","34.45","10","344.50","全部成交","10@34.45","2025/04/23 09:33:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","SQQQ","三倍做空纳指ETF-ProShares","34.50","10","345.00","已撤单","0@0.00","2025/04/23 09:32:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","00981","中芯国际","48.00","500","24,000.00","已撤单","0@0.00","2025/04/23 13:16:52 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","SOXL","三倍做多半导体ETF-Direxion","9.30","100","930.00","全部成交","100@9.30","2025/04/22 11:04:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.03","0.02","","2.34"
"卖出","NVDA","英伟达","99.20","15","1,488.00","全部成交","15@99.20","2025/04/22 09:46:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","0.04","0.01","","2.09"
"卖出","SOXL","三倍做多半导体ETF-Direxion","9.24","100","924.00","全部成交","100@9.24","2025/04/22 09:43:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.03","0.02","","2.34"
