"交易类型","代码","名称","金额","余额","币种","创建时间"
"股票买入成交","AMD","美国超微公司","-1,325.00","77,250.57","USD","2024/08/06 22:48:45"
"股票卖出费用","ASML","阿斯麦","-2.14","78,575.57","USD","2024/08/06 22:41:45"
"股票卖出成交","ASML","阿斯麦","+4,255.00","78,577.71","USD","2024/08/06 22:41:35"
"股票买入费用","AMD","美国超微公司","-2.14","74,322.71","USD","2024/08/06 22:41:05"
"股票买入成交","AMD","美国超微公司","-6,625.00","74,324.85","USD","2024/08/06 22:40:51"
"股票卖出费用","AMD","美国超微公司","-2.34","80,949.85","USD","2024/08/06 22:08:07"
"股票卖出成交","AMD","美国超微公司","+6,665.00","80,952.19","USD","2024/08/06 22:07:57"
"股票买入费用","AMD","美国超微公司","-2.14","74,287.19","USD","2024/08/06 21:35:10"
"股票买入成交","AMD","美国超微公司","-6,635.00","74,289.33","USD","2024/08/06 21:34:56"
"股票卖出费用","ASML","阿斯麦","-2.16","80,924.33","USD","2024/08/06 21:33:21"
"股票卖出成交","ASML","阿斯麦","+5,094.00","80,926.49","USD","2024/08/06 21:33:07"
"股票卖出费用","ASML","阿斯麦","-3.06","75,832.49","USD","2024/08/06 21:32:44"
"股票卖出成交","ASML","阿斯麦","+33,872.00","75,835.55","USD","2024/08/06 21:32:29"
"股票买入费用","AMD","美国超微公司","-2.14","41,963.55","USD","2024/08/06 20:34:02"
"股票买入成交","AMD","美国超微公司","-6,755.00","41,965.69","USD","2024/08/06 20:33:48"
"股票买入费用","AMD","美国超微公司","-2.14","48,720.69","USD","2024/08/06 17:17:28"
"股票买入成交","AMD","美国超微公司","-6,740.00","48,722.83","USD","2024/08/06 17:17:20"
"股票买入费用","AMD","美国超微公司","-2.29","55,462.83","USD","2024/08/06 16:16:12"
"股票买入成交","AMD","美国超微公司","-2,591.60","55,465.12","USD","2024/08/06 16:16:02"
"股票买入成交","AMD","美国超微公司","-11,048.40","58,056.72","USD","2024/08/06 16:16:02"
"股票买入费用","AMD","美国超微公司","-2.29","69,105.12","USD","2024/08/06 16:09:35"
"股票买入成交","AMD","美国超微公司","-2,599.20","69,107.41","USD","2024/08/06 16:09:17"
"股票买入成交","AMD","美国超微公司","-9,302.40","71,706.61","USD","2024/08/06 16:09:17"
"股票买入成交","AMD","美国超微公司","-1,778.40","81,009.01","USD","2024/08/06 16:09:15"
"股票卖出费用","AMD","美国超微公司","-2.70","82,787.41","USD","2024/08/06 07:59:42"
"股票卖出成交","AMD","美国超微公司","+12,707.04","82,790.11","USD","2024/08/06 07:59:24"
"股票卖出成交","AMD","美国超微公司","+1,104.96","70,083.07","USD","2024/08/06 07:59:15"
"股票买入费用","AMD","美国超微公司","-2.36","68,978.11","USD","2024/08/06 02:14:22"
"股票买入成交","AMD","美国超微公司","-808.20","68,980.47","USD","2024/08/06 02:14:09"
"股票买入成交","AMD","美国超微公司","-15,625.20","69,788.67","USD","2024/08/06 02:14:09"
"股票卖出费用","AMD","美国超微公司","-2.16","85,413.87","USD","2024/08/06 00:30:07"
"股票卖出成交","AMD","美国超微公司","+3,060.42","85,416.03","USD","2024/08/06 00:29:56"
"股票卖出费用","NVDA","英伟达","-2.15","82,355.61","USD","2024/08/06 00:28:51"
"股票卖出成交","NVDA","英伟达","+2,580.00","82,357.76","USD","2024/08/06 00:28:36"
"股票卖出费用","AMD","美国超微公司","-2.69","79,777.76","USD","2024/08/06 00:25:08"
"股票卖出成交","AMD","美国超微公司","+6,643.20","79,780.45","USD","2024/08/06 00:24:55"
"股票卖出成交","AMD","美国超微公司","+7,196.80","73,137.25","USD","2024/08/06 00:24:55"
"股票卖出费用","AMD","美国超微公司","-2.34","65,940.45","USD","2024/08/05 23:38:36"
"股票卖出成交","AMD","美国超微公司","+6,880.00","65,942.79","USD","2024/08/05 23:38:22"
"股票卖出费用","AMD","美国超微公司","-2.34","59,062.79","USD","2024/08/05 23:17:45"
"股票卖出成交","AMD","美国超微公司","+6,825.00","59,065.13","USD","2024/08/05 23:17:28"
"股票卖出费用","AMD","美国超微公司","-2.27","52,240.13","USD","2024/08/05 23:15:16"
"股票卖出成交","AMD","美国超微公司","+5,440.00","52,242.40","USD","2024/08/05 23:14:59"
"股票卖出费用","AMD","美国超微公司","-2.54","46,802.40","USD","2024/08/05 22:54:30"
"股票卖出成交","AMD","美国超微公司","+10,840.00","46,804.94","USD","2024/08/05 22:54:13"
"股票卖出费用","AMD","美国超微公司","-2.13","35,964.94","USD","2024/08/05 22:35:27"
"股票卖出成交","AMD","美国超微公司","+2,694.00","35,967.07","USD","2024/08/05 22:35:16"
"股票卖出费用","AMD","美国超微公司","-2.13","33,273.07","USD","2024/08/05 22:19:43"
"股票卖出成交","AMD","美国超微公司","+2,688.00","33,275.20","USD","2024/08/05 22:19:29"
"股票卖出费用","AMD","美国超微公司","-2.13","30,587.20","USD","2024/08/05 22:18:34"
"股票卖出成交","AMD","美国超微公司","+2,674.00","30,589.33","USD","2024/08/05 22:18:19"
"股票卖出费用","AMD","美国超微公司","-2.17","27,915.33","USD","2024/08/05 22:01:47"
"股票卖出成交","AMD","美国超微公司","+666.00","27,917.50","USD","2024/08/05 22:01:32"
"股票卖出成交","AMD","美国超微公司","+133.20","27,251.50","USD","2024/08/05 22:01:32"
"股票卖出成交","AMD","美国超微公司","+799.20","27,118.30","USD","2024/08/05 22:01:32"
"股票卖出成交","AMD","美国超微公司","+1,065.60","26,319.10","USD","2024/08/05 22:01:31"
"股票卖出费用","NVDA","英伟达","-2.15","25,253.50","USD","2024/08/05 22:01:14"
"股票卖出成交","NVDA","英伟达","+2,525.00","25,255.65","USD","2024/08/05 22:01:02"
"股票卖出费用","NVDA","英伟达","-2.17","22,730.65","USD","2024/08/05 21:58:49"
"股票卖出成交","NVDA","英伟达","+2,985.00","22,732.82","USD","2024/08/05 21:58:33"
"股票卖出费用","NVDA","英伟达","-2.12","19,747.82","USD","2024/08/05 21:48:45"
"股票卖出成交","NVDA","英伟达","+1,986.00","19,749.94","USD","2024/08/05 21:48:36"
"股票卖出费用","NVDA","英伟达","-2.29","17,763.94","USD","2024/08/05 21:46:47"
"股票卖出成交","NVDA","英伟达","+4,915.00","17,766.23","USD","2024/08/05 21:46:33"
"股票卖出费用","NVDA","英伟达","-2.29","12,851.23","USD","2024/08/05 21:40:06"
"股票卖出成交","NVDA","英伟达","+4,875.00","12,853.52","USD","2024/08/05 21:39:55"
"股票卖出费用","NVDA","英伟达","-2.58","7,978.52","USD","2024/08/05 21:39:19"
"股票卖出成交","NVDA","英伟达","+9,680.00","7,981.10","USD","2024/08/05 21:39:03"
"股票卖出费用","NVDA","英伟达","-2.87","-1,698.90","USD","2024/08/05 21:38:47"
"股票卖出成交","NVDA","英伟达","+2,892.00","-1,696.03","USD","2024/08/05 21:38:32"
"股票卖出成交","NVDA","英伟达","+11,568.00","-4,588.03","USD","2024/08/05 21:38:32"
"股票卖出费用","NVDA","英伟达","-2.68","-16,156.03","USD","2024/08/05 21:37:26"
"股票卖出成交","NVDA","英伟达","+1,437.00","-16,153.35","USD","2024/08/05 21:37:09"
"股票卖出成交","NVDA","英伟达","+9,580.00","-17,590.35","USD","2024/08/05 21:37:09"
"股票买入费用","NVDA","英伟达","-2.04","-27,170.35","USD","2024/08/05 20:04:17"
"股票买入成交","NVDA","英伟达","-1,405.50","-27,168.31","USD","2024/08/05 20:04:04"
"股票卖出费用","AMZN","亚马逊","-2.12","-25,762.81","USD","2024/08/05 19:57:29"
"股票卖出成交","AMZN","亚马逊","+2,350.05","-25,760.69","USD","2024/08/05 19:57:15"
"股票买入费用","AMZN","亚马逊","-2.04","-28,110.74","USD","2024/08/05 19:41:18"
"股票买入成交","AMZN","亚马逊","-2,370.30","-28,108.70","USD","2024/08/05 19:41:07"
"股票买入费用","NVDA","英伟达","-2.29","-25,738.40","USD","2024/08/05 19:39:49"
"股票买入成交","NVDA","英伟达","-6,022.40","-25,736.11","USD","2024/08/05 19:39:37"
"股票买入成交","NVDA","英伟达","-3,387.60","-19,713.71","USD","2024/08/05 19:39:37"
"股票卖出费用","AMZN","亚马逊","-2.62","-16,326.11","USD","2024/08/05 19:00:19"
"股票卖出成交","AMZN","亚马逊","+8,710.20","-16,323.49","USD","2024/08/05 19:00:03"
"股票卖出成交","AMZN","亚马逊","+3,226.00","-25,033.69","USD","2024/08/05 19:00:03"
"股票卖出成交","AMZN","亚马逊","+483.90","-28,259.69","USD","2024/08/05 19:00:03"
"股票卖出成交","AMZN","亚马逊","+483.90","-28,743.59","USD","2024/08/05 19:00:03"
"股票买入费用","AMZN","亚马逊","-2.23","-29,227.49","USD","2024/08/05 18:26:41"
"股票买入成交","AMZN","亚马逊","-12,766.40","-29,225.26","USD","2024/08/05 18:26:28"
"股票卖出费用","PYPL","PayPal","-2.85","-16,458.86","USD","2024/08/05 18:10:49"
"股票卖出成交","PYPL","PayPal","+4,712.00","-16,456.01","USD","2024/08/05 18:10:37"
"股票卖出成交","PYPL","PayPal","+2,945.00","-21,168.01","USD","2024/08/05 18:10:37"
"股票卖出成交","PYPL","PayPal","+2,945.00","-24,113.01","USD","2024/08/05 18:10:37"
"股票买入费用","PYPL","PayPal","-2.53","-27,058.01","USD","2024/08/05 17:51:04"
"股票买入成交","PYPL","PayPal","-2,925.00","-27,055.48","USD","2024/08/05 17:50:49"
"股票买入成交","PYPL","PayPal","-7,605.00","-24,130.48","USD","2024/08/05 17:50:49"
"股票卖出费用","GOOG","谷歌-C","-2.60","-16,525.48","USD","2024/08/05 17:39:13"
"股票卖出成交","GOOG","谷歌-C","+12,788.80","-16,522.88","USD","2024/08/05 17:39:01"
"股票买入费用","GOOG","谷歌-C","-2.23","-29,311.68","USD","2024/08/05 17:10:31"
"股票买入成交","GOOG","谷歌-C","-4,953.80","-29,309.45","USD","2024/08/05 17:10:20"
"股票买入成交","GOOG","谷歌-C","-7,830.20","-24,355.65","USD","2024/08/05 17:10:20"
"股票卖出费用","NVDA","英伟达","-2.29","-16,525.45","USD","2024/08/05 16:09:41"
"股票卖出成交","NVDA","英伟达","+5,070.00","-16,523.16","USD","2024/08/05 16:09:26"
"股票卖出费用","NVDA","英伟达","-2.32","-21,593.16","USD","2024/08/05 16:08:35"
"股票卖出成交","NVDA","英伟达","+5,527.50","-21,590.84","USD","2024/08/05 16:08:23"
"股票买入费用","NVDA","英伟达","-2.36","-27,118.34","USD","2024/08/05 13:41:08"
"股票买入成交","NVDA","英伟达","-11,755.20","-27,115.98","USD","2024/08/05 13:40:53"
"股票卖出费用","01519","极兔速递-W","-99.76","4,798.19","HKD","2024/08/05 13:40:36"
"股票卖出成交","01519","极兔速递-W","+59,100.00","4,897.95","HKD","2024/08/05 13:40:22"
"股票买入费用","NVDA","英伟达","-2.05","-15,360.78","USD","2024/08/05 13:35:14"
"股票买入成交","NVDA","英伟达","-1,997.52","-15,358.73","USD","2024/08/05 13:34:58"
"股票买入费用","01519","极兔速递-W","-33.61","-54,202.05","HKD","2024/08/05 13:20:14"
"股票买入成交","01519","极兔速递-W","-11,960.00","-54,168.44","HKD","2024/08/05 13:20:02"
"股票买入费用","NVDA","英伟达","-2.17","-13,361.21","USD","2024/08/05 13:04:16"
"股票买入成交","NVDA","英伟达","-5,736.00","-13,359.04","USD","2024/08/05 13:04:00"
"股票买入费用","NVDA","英伟达","-2.14","-7,623.04","USD","2024/08/05 13:02:58"
"股票买入成交","NVDA","英伟达","-4,795.00","-7,620.90","USD","2024/08/05 13:02:42"
"股票买入费用","AVGO","博通","-2.02","-2,825.90","USD","2024/08/05 12:55:23"
"股票买入成交","AVGO","博通","-1,300.30","-2,823.88","USD","2024/08/05 12:55:11"
"股票买入费用","NVDA","英伟达","-2.29","-1,523.58","USD","2024/08/05 12:55:11"
"股票买入成交","NVDA","英伟达","-9,601.00","-1,521.29","USD","2024/08/05 12:54:55"
"股票买入费用","NVDA","英伟达","-2.07","8,079.71","USD","2024/08/05 12:46:15"
"股票买入成交","NVDA","英伟达","-2,413.75","8,081.78","USD","2024/08/05 12:46:02"
"股票买入费用","NVDA","英伟达","-2.06","10,495.53","USD","2024/08/05 12:45:00"
"股票买入成交","NVDA","英伟达","-2,030.28","10,497.59","USD","2024/08/05 12:44:49"
"股票买入成交","NVDA","英伟达","-386.72","12,527.87","USD","2024/08/05 12:44:49"
"股票买入费用","NVDA","英伟达","-2.20","12,914.59","USD","2024/08/05 12:17:47"
"股票买入成交","NVDA","英伟达","-6,790.70","12,916.79","USD","2024/08/05 12:17:35"
"股票买入费用","NVDA","英伟达","-2.04","19,707.49","USD","2024/08/05 12:13:09"
"股票买入成交","NVDA","英伟达","-1,461.75","19,709.53","USD","2024/08/05 12:12:53"
"股票买入费用","NVDA","英伟达","-2.04","21,171.28","USD","2024/08/05 11:55:44"
"股票买入成交","NVDA","英伟达","-1,464.00","21,173.32","USD","2024/08/05 11:55:32"
"股票买入费用","NVDA","英伟达","-2.05","22,637.32","USD","2024/08/05 11:43:37"
"股票买入成交","NVDA","英伟达","-1,960.20","22,639.37","USD","2024/08/05 11:43:20"
"股票买入费用","NVDA","英伟达","-2.02","24,599.57","USD","2024/08/05 11:42:15"
"股票买入成交","NVDA","英伟达","-982.80","24,601.59","USD","2024/08/05 11:42:03"
"股票买入费用","NVDA","英伟达","-2.02","25,584.39","USD","2024/08/05 11:40:28"
"股票买入成交","NVDA","英伟达","-985.00","25,586.41","USD","2024/08/05 11:40:18"
"股票买入费用","NVDA","英伟达","-2.02","26,571.41","USD","2024/08/05 11:38:09"
"股票买入成交","NVDA","英伟达","-988.00","26,573.43","USD","2024/08/05 11:37:59"
"资产迁移","--","--","+13.99","-42,208.44","HKD","2024/08/03 17:38:26"
"资产迁移","--","--","+1,865.01","27,561.43","USD","2024/08/03 12:53:45"
"资产迁移","--","--","+25,696.42","25,696.42","USD","2024/08/03 12:53:45"
"资产迁移","--","--","-17,141.59","-42,222.43","HKD","2024/08/03 12:53:45"
"资产迁移","--","--","-25,080.84","-25,080.84","HKD","2024/08/03 12:53:45"
