"代码","名称","方向","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪"
"SOXL","三倍做多半导体ETF-Direxion","买入","50","9.18","459.00","2025/04/16 01:52:28 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","100","10.96","1,096.00","2025/04/15 10:09:08 (美东)","美股","USD",""
"00981","中芯国际","买入","2,500","46.90","117,250.00","2025/04/11 15:59:16 (香港)","港股","HKD","8734"
"00981","中芯国际","卖空","500","47.80","23,900.00","2025/04/11 11:47:27 (香港)","港股","HKD","6968"
"00981","中芯国际","卖空","500","47.30","23,650.00","2025/04/11 11:30:27 (香港)","港股","HKD","1298"
"00981","中芯国际","卖空","500","46.90","23,450.00","2025/04/11 11:28:51 (香港)","港股","HKD","6997"
"00981","中芯国际","卖空","500","46.30","23,150.00","2025/04/11 09:58:26 (香港)","港股","HKD","5999"
"00981","中芯国际","卖空","500","45.40","22,700.00","2025/04/11 09:35:03 (香港)","港股","HKD","5998"
"SOXL","三倍做多半导体ETF-Direxion","卖出","695","9.80","6,811.00","2025/04/10 14:40:04 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","1,000","9.85","9,850.00","2025/04/10 14:31:47 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","80","8.94","715.20","2025/04/10 12:14:40 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","25","87.00","2,175.00","2025/04/10 12:14:04 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","385","9.20","3,542.00","2025/04/10 11:52:14 (美东)","美股","USD",""
"PDD","拼多多","卖出","75","90.01","6,750.75","2025/04/10 11:51:45 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","430","9.30","3,999.00","2025/04/10 11:50:19 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","457","9.44","4,314.08","2025/04/10 11:39:15 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","3","9.44","28.32","2025/04/10 11:39:14 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","10","9.44","94.40","2025/04/10 11:39:14 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","30","9.44","283.20","2025/04/10 11:39:14 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","117","9.55","1,117.35","2025/04/10 11:29:58 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","162","9.55","1,547.10","2025/04/10 11:29:57 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","221","9.55","2,110.55","2025/04/10 11:29:55 (美东)","美股","USD",""
"PDD","拼多多","买入","25","90.00","2,250.00","2025/04/10 11:10:32 (美东)","美股","USD",""
"PDD","拼多多","买入","25","90.90","2,272.50","2025/04/10 09:45:30 (美东)","美股","USD",""
"PDD","拼多多","买入","25","91.80","2,295.00","2025/04/10 09:41:05 (美东)","美股","USD",""
"DIS","迪士尼","买入","28","89.11","2,495.08","2025/04/10 08:49:52 (美东)","美股","USD",""
"DIS","迪士尼","买入","22","89.11","1,960.42","2025/04/10 08:49:52 (美东)","美股","USD",""
"DIS","迪士尼","卖空","26","89.98","2,339.48","2025/04/10 06:19:47 (美东)","美股","USD",""
"DIS","迪士尼","卖空","24","89.98","2,159.52","2025/04/10 06:19:47 (美东)","美股","USD",""
"00981","中芯国际","买入","1,000","43.70","43,700.00","2025/04/10 15:43:00 (香港)","港股","HKD","5999"
"00981","中芯国际","买入","1,000","44.05","44,050.00","2025/04/10 14:45:21 (香港)","港股","HKD","6996"
"00981","中芯国际","买入","1,000","44.20","44,200.00","2025/04/10 11:40:59 (香港)","港股","HKD","6968"
"00981","中芯国际","卖空","1,000","46.30","46,300.00","2025/04/10 09:59:54 (香港)","港股","HKD","1478"
"PDD","拼多多","卖出","25","98.00","2,450.00","2025/04/09 21:57:12 (美东)","美股","USD",""
"00981","中芯国际","卖空","500","45.90","22,950.00","2025/04/10 09:51:03 (香港)","港股","HKD","6996"
"00981","中芯国际","卖空","500","45.60","22,800.00","2025/04/10 09:49:45 (香港)","港股","HKD","8446"
"00981","中芯国际","卖空","500","45.30","22,650.00","2025/04/10 09:38:27 (香港)","港股","HKD","6968"
"PDD","拼多多","卖出","25","97.60","2,440.00","2025/04/09 19:31:28 (美东)","美股","USD",""
"PDD","拼多多","买入","30","88.50","2,655.00","2025/04/09 12:07:33 (美东)","美股","USD",""
"PDD","拼多多","买入","20","89.50","1,790.00","2025/04/09 10:51:21 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","25","86.60","2,165.00","2025/04/09 09:14:52 (美东)","美股","USD",""
"00981","中芯国际","卖空","500","43.20","21,600.00","2025/04/09 13:56:44 (香港)","港股","HKD","1499"
"00981","中芯国际","卖空","500","42.75","21,375.00","2025/04/09 13:43:16 (香港)","港股","HKD","2424"
"TLT","20+年以上美国国债ETF-iShares","卖出","133","86.08","11,448.64","2025/04/09 01:21:50 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","4","86.08","344.32","2025/04/09 01:21:28 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","5","86.08","430.40","2025/04/09 01:21:09 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","3","86.08","258.24","2025/04/09 01:21:04 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","5","86.08","430.40","2025/04/09 01:21:01 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","卖出","325","85.95","27,933.75","2025/04/09 01:18:28 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","买入","50","84.80","4,240.00","2025/04/09 00:11:18 (美东)","美股","USD",""
"XYZ","Block","卖出","27","47.55","1,283.85","2025/04/09 00:05:51 (美东)","美股","USD",""
"XYZ","Block","卖出","1","47.56","47.56","2025/04/09 00:05:41 (美东)","美股","USD",""
"XYZ","Block","卖出","2","47.56","95.12","2025/04/09 00:05:41 (美东)","美股","USD",""
"XYZ","Block","卖出","20","47.65","953.00","2025/04/09 00:04:54 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","买入","35","85.02","2,975.70","2025/04/08 23:59:36 (美东)","美股","USD",""
"TLT","20+年以上美国国债ETF-iShares","买入","440","85.88","37,787.20","2025/04/08 23:37:10 (美东)","美股","USD",""
"00981","中芯国际","卖空","500","43.50","21,750.00","2025/04/09 10:17:26 (香港)","港股","HKD","5998"
"XYZ","Block","买入","50","49.80","2,490.00","2025/04/08 13:11:30 (美东)","美股","USD",""
"AVGO","博通","买入","221","162.20","35,846.20","2025/04/08 12:35:55 (美东)","美股","USD",""
"AVGO","博通","卖空","21","163.40","3,431.40","2025/04/08 07:44:33 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","101.38","2,534.50","2025/04/08 07:43:46 (美东)","美股","USD",""
"AVGO","博通","卖空","200","162.50","32,500.00","2025/04/08 07:36:24 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","100.20","2,505.00","2025/04/08 07:00:12 (美东)","美股","USD",""
"NVDA","英伟达","卖出","50","98.00","4,900.00","2025/04/07 11:02:39 (美东)","美股","USD",""
"NVDA","英伟达","卖出","80","89.01","7,120.80","2025/04/07 04:30:45 (美东)","美股","USD",""
"XYZ","Block","卖出","30","46.27","1,388.10","2025/04/07 02:57:46 (美东)","美股","USD",""
"XYZ","Block","卖出","20","46.28","925.60","2025/04/07 02:57:38 (美东)","美股","USD",""
"NVDA","英伟达","买入","1","85.01","85.01","2025/04/07 02:31:05 (美东)","美股","USD",""
"NVDA","英伟达","买入","1","85.01","85.01","2025/04/07 02:31:00 (美东)","美股","USD",""
"NVDA","英伟达","买入","28","85.01","2,380.28","2025/04/07 02:31:00 (美东)","美股","USD",""
"NVDA","英伟达","买入","50","85.60","4,280.00","2025/04/07 02:14:38 (美东)","美股","USD",""
"XYZ","Block","买入","50","46.11","2,305.50","2025/04/07 01:58:07 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","86.01","2,150.25","2025/04/07 01:48:11 (美东)","美股","USD",""
"01519","极兔速递-W","卖出","10,000","4.78","47,800.00","2025/04/07 13:07:06 (香港)","港股","HKD","5999"
"NVDA","英伟达","买入","25","87.05","2,176.25","2025/04/07 00:10:00 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","87.60","2,190.00","2025/04/06 23:26:53 (美东)","美股","USD",""
"01519","极兔速递-W","买入","4,000","4.83","19,320.00","2025/04/07 09:52:04 (香港)","港股","HKD","2453"
"NVDA","英伟达","卖出","50","92.61","4,630.50","2025/04/04 19:57:51 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","93.70","2,342.50","2025/04/04 12:24:15 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","94.375","2,359.38","2025/04/04 11:36:37 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","96.00","2,400.00","2025/04/04 11:13:57 (美东)","美股","USD",""
"NVDA","英伟达","卖出","100","95.20","9,520.00","2025/04/04 11:11:16 (美东)","美股","USD",""
"MU","美光科技","卖出","50","66.40","3,320.00","2025/04/04 11:10:07 (美东)","美股","USD",""
"NVDA","英伟达","买入","20","92.575","1,851.50","2025/04/04 10:50:29 (美东)","美股","USD",""
"XYZ","Block","卖出","150","47.94","7,191.00","2025/04/04 10:50:03 (美东)","美股","USD",""
"NVDA","英伟达","买入","30","93.30","2,799.00","2025/04/04 10:48:53 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","94.70","2,367.50","2025/04/04 10:29:13 (美东)","美股","USD",""
"XYZ","Block","买入","50","49.30","2,465.00","2025/04/04 10:26:37 (美东)","美股","USD",""
"XYZ","Block","买入","50","49.50","2,475.00","2025/04/04 10:18:25 (美东)","美股","USD",""
"MU","美光科技","买入","25","65.80","1,645.00","2025/04/04 10:12:18 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","95.60","2,390.00","2025/04/04 10:11:18 (美东)","美股","USD",""
"MU","美光科技","买入","25","66.20","1,655.00","2025/04/04 10:10:52 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","96.20","2,405.00","2025/04/04 10:09:13 (美东)","美股","USD",""
"XYZ","Block","卖出","50","50.30","2,515.00","2025/04/04 09:48:29 (美东)","美股","USD",""
"XYZ","Block","卖出","100","50.00","5,000.00","2025/04/04 09:45:49 (美东)","美股","USD",""
"XYZ","Block","买入","50","48.65","2,432.50","2025/04/04 08:39:01 (美东)","美股","USD",""
"XYZ","Block","买入","50","49.25","2,462.50","2025/04/04 08:37:01 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","98.2006","2,455.02","2025/04/04 08:15:27 (美东)","美股","USD",""
"XYZ","Block","买入","94","49.40","4,643.60","2025/04/04 07:59:15 (美东)","美股","USD",""
"XYZ","Block","买入","6","49.40","296.40","2025/04/04 07:59:15 (美东)","美股","USD",""
"NVDA","英伟达","卖出","50","97.5903","4,879.52","2025/04/04 07:58:40 (美东)","美股","USD",""
"NVDA","英伟达","卖出","51","96.70","4,931.70","2025/04/04 07:51:27 (美东)","美股","USD",""
"NVDA","英伟达","卖出","49","96.70","4,738.30","2025/04/04 07:51:27 (美东)","美股","USD",""
"NVDA","英伟达","买入","50","95.50","4,775.00","2025/04/04 07:30:29 (美东)","美股","USD",""
"NVDA","英伟达","买入","50","96.01","4,800.50","2025/04/04 07:28:54 (美东)","美股","USD",""
"NVDA","英伟达","买入","34","96.80","3,291.20","2025/04/04 07:25:49 (美东)","美股","USD",""
"NVDA","英伟达","买入","16","96.80","1,548.80","2025/04/04 07:25:49 (美东)","美股","USD",""
"NVDA","英伟达","买入","50","97.40","4,870.00","2025/04/04 07:12:49 (美东)","美股","USD",""
"SBUX","星巴克","买入","1","83.30","83.30","2025/04/04 07:00:33 (美东)","美股","USD",""
"MU","美光科技","卖出","13","70.50","916.50","2025/04/04 06:24:18 (美东)","美股","USD",""
"MU","美光科技","卖出","18","70.50","1,269.00","2025/04/04 06:24:18 (美东)","美股","USD",""
"MU","美光科技","卖出","7","70.50","493.50","2025/04/04 06:24:08 (美东)","美股","USD",""
"MU","美光科技","卖出","59","70.50","4,159.50","2025/04/04 06:24:08 (美东)","美股","USD",""
"MU","美光科技","卖出","41","70.50","2,890.50","2025/04/04 06:24:07 (美东)","美股","USD",""
"MU","美光科技","卖出","100","70.50","7,050.00","2025/04/04 06:24:07 (美东)","美股","USD",""
"MU","美光科技","卖出","100","70.50","7,050.00","2025/04/04 06:24:07 (美东)","美股","USD",""
"MU","美光科技","买入","89","72.00","6,408.00","2025/04/04 06:18:36 (美东)","美股","USD",""
"GOOG","谷歌-C","卖出","50","150.14","7,507.00","2025/04/04 06:16:50 (美东)","美股","USD",""
"MU","美光科技","买入","4","72.85","291.40","2025/04/04 06:14:19 (美东)","美股","USD",""
"MU","美光科技","买入","45","72.85","3,278.25","2025/04/04 06:14:07 (美东)","美股","USD",""
"SBUX","星巴克","买入","45","87.05","3,917.25","2025/04/04 06:13:17 (美东)","美股","USD",""
"SBUX","星巴克","买入","4","87.95","351.80","2025/04/04 05:56:47 (美东)","美股","USD",""
"GOOG","谷歌-C","买入","50","151.60","7,580.00","2025/04/04 04:55:47 (美东)","美股","USD",""
"SBUX","星巴克","买入","50","87.91","4,395.50","2025/04/04 01:08:07 (美东)","美股","USD",""
"MU","美光科技","买入","20","76.02","1,520.40","2025/04/03 13:08:46 (美东)","美股","USD",""
"MU","美光科技","买入","100","76.02","7,602.00","2025/04/03 13:08:46 (美东)","美股","USD",""
"MU","美光科技","买入","30","76.02","2,280.60","2025/04/03 13:08:45 (美东)","美股","USD",""
"MU","美光科技","买入","50","76.02","3,801.00","2025/04/03 13:08:45 (美东)","美股","USD",""
"SBUX","星巴克","买入","100","88.20","8,820.00","2025/04/03 12:57:22 (美东)","美股","USD",""
"SBUX","星巴克","卖空","49","99.20","4,860.80","2025/03/27 10:09:57 (美东)","美股","USD",""
"SBUX","星巴克","卖空","1","99.20","99.20","2025/03/27 10:09:36 (美东)","美股","USD",""
"SBUX","星巴克","卖空","50","98.25","4,912.50","2025/03/26 10:38:02 (美东)","美股","USD",""
"SBUX","星巴克","卖空","50","97.80","4,890.00","2025/03/26 10:02:46 (美东)","美股","USD",""
"01519","极兔速递-W","买入","6,000","5.48","32,880.00","2025/03/25 10:45:54 (香港)","港股","HKD","6999"
"SBUX","星巴克","买入","16","96.50","1,544.00","2025/03/24 10:52:45 (美东)","美股","USD",""
"SBUX","星巴克","买入","34","96.50","3,281.00","2025/03/24 10:52:45 (美东)","美股","USD",""
"SBUX","星巴克","买入","50","96.60","4,830.00","2025/03/24 10:29:24 (美东)","美股","USD",""
"SBUX","星巴克","买入","96","97.00","9,312.00","2025/03/24 10:07:19 (美东)","美股","USD",""
"SBUX","星巴克","买入","5","116.8757","584.38","2025/03/03 09:32:19 (美东)","美股","USD",""
"SBUX","星巴克","买入","8","116.3194","930.56","2025/03/03 09:30:54 (美东)","美股","USD",""
"SBUX","星巴克","买入","4","116.0098","464.04","2025/02/28 15:57:08 (美东)","美股","USD",""
"SBUX","星巴克","买入","31","115.5873","3,583.21","2025/02/27 13:34:41 (美东)","美股","USD",""
"SBUX","星巴克","买入","4","112.86","451.44","2025/02/24 09:43:14 (美东)","美股","USD",""
"SBUX","星巴克","买入","4","112.485","449.94","2025/02/14 15:43:48 (美东)","美股","USD",""
"SBUX","星巴克","买入","13","112.07","1,456.91","2025/02/07 15:05:41 (美东)","美股","USD",""
"SBUX","星巴克","买入","20","111.0198","2,220.40","2025/02/04 15:54:21 (美东)","美股","USD",""
"SBUX","星巴克","买入","14","111.0198","1,554.28","2025/02/04 15:54:21 (美东)","美股","USD",""
"SBUX","星巴克","买入","3","111.0198","333.06","2025/02/04 15:54:21 (美东)","美股","USD",""
"SBUX","星巴克","买入","42","108.7373","4,566.97","2025/01/29 13:26:35 (美东)","美股","USD",""
"SBUX","星巴克","买入","153","106.0046","16,218.70","2025/01/29 09:32:11 (美东)","美股","USD",""
"SBUX","星巴克","买入","7","99.2559","694.79","2025/01/27 09:37:37 (美东)","美股","USD",""
"SBUX","星巴克","买入","29","98.9181","2,868.62","2025/01/24 15:06:23 (美东)","美股","USD",""
"SBUX","星巴克","买入","31","97.80","3,031.80","2025/01/21 09:43:56 (美东)","美股","USD",""
"SBUX","星巴克","买入","36","96.65","3,479.40","2025/01/21 09:32:18 (美东)","美股","USD",""
"SBUX","星巴克","卖空","130","88.66","11,525.80","2024/12/24 10:26:06 (美东)","美股","USD",""
"SBUX","星巴克","买入","23","103.262","2,375.03","2024/11/25 09:31:03 (美东)","美股","USD",""
"SBUX","星巴克","买入","7","102.1999","715.40","2024/11/22 15:43:22 (美东)","美股","USD",""
"SBUX","星巴克","买入","55","101.8988","5,604.43","2024/11/22 15:01:22 (美东)","美股","USD",""
"SBUX","星巴克","买入","30","99.7995","2,993.99","2024/11/11 09:33:32 (美东)","美股","USD",""
"SBUX","星巴克","买入","8","98.89","791.12","2024/11/01 15:03:24 (美东)","美股","USD",""
"SBUX","星巴克","买入","7","98.8075","691.65","2024/09/13 15:19:20 (美东)","美股","USD",""
"SBUX","星巴克","买入","26","98.48","2,560.48","2024/08/27 17:12:34 (美东)","美股","USD",""
"SBUX","星巴克","买入","2","98.47","196.94","2024/08/27 17:12:34 (美东)","美股","USD",""
"SBUX","星巴克","买入","1","98.47","98.47","2024/08/27 17:12:34 (美东)","美股","USD",""
"SBUX","星巴克","买入","1","98.47","98.47","2024/08/27 17:12:34 (美东)","美股","USD",""
"SBUX","星巴克","买入","25","98.47","2,461.75","2024/08/27 17:11:34 (美东)","美股","USD",""
"SBUX","星巴克","卖空","35","90.40","3,164.00","2024/08/13 09:20:05 (美东)","美股","USD",""
"NVDA","英伟达","买入","40","113.00","4,520.00","2024/08/13 09:19:10 (美东)","美股","USD",""
"SBUX","星巴克","卖空","120","89.90","10,788.00","2024/08/13 09:16:51 (美东)","美股","USD",""
"MU","美光科技","买入","100","96.35","9,635.00","2024/08/13 09:15:02 (美东)","美股","USD",""
"SBUX","星巴克","卖空","1","89.60","89.60","2024/08/13 09:13:15 (美东)","美股","USD",""
"SBUX","星巴克","卖空","22","89.60","1,971.20","2024/08/13 09:13:15 (美东)","美股","USD",""
"SBUX","星巴克","卖空","22","89.60","1,971.20","2024/08/13 09:13:15 (美东)","美股","USD",""
"SBUX","星巴克","卖空","5","89.60","448.00","2024/08/13 09:13:13 (美东)","美股","USD",""
"SBUX","星巴克","卖空","100","88.80","8,880.00","2024/08/13 09:08:20 (美东)","美股","USD",""
"NVDA","英伟达","卖空","20","113.00","2,260.00","2024/08/13 08:37:40 (美东)","美股","USD",""
"NVDA","英伟达","卖空","10","112.70","1,127.00","2024/08/13 08:34:59 (美东)","美股","USD",""
"SBUX","星巴克","卖空","100","88.20","8,820.00","2024/08/13 08:22:26 (美东)","美股","USD",""
"SBUX","星巴克","卖空","100","87.40","8,740.00","2024/08/13 08:21:03 (美东)","美股","USD",""
"SBUX","星巴克","卖空","100","86.80","8,680.00","2024/08/13 08:20:28 (美东)","美股","USD",""
"SBUX","星巴克","卖空","50","86.30","4,315.00","2024/08/13 08:19:28 (美东)","美股","USD",""
"SBUX","星巴克","卖空","50","85.30","4,265.00","2024/08/13 08:14:46 (美东)","美股","USD",""
"NVDA","英伟达","卖空","10","111.20","1,112.00","2024/08/13 08:08:24 (美东)","美股","USD",""
"NVDA","英伟达","卖出","5","111.18","555.90","2024/08/13 08:06:52 (美东)","美股","USD",""
"MU","美光科技","买入","100","94.30","9,430.00","2024/08/12 15:41:50 (美东)","美股","USD",""
"SBUX","星巴克","买入","50","76.70","3,835.00","2024/08/12 13:07:16 (美东)","美股","USD",""
"MU","美光科技","买入","100","94.80","9,480.00","2024/08/12 12:56:10 (美东)","美股","USD",""
"MU","美光科技","买入","100","95.00","9,500.00","2024/08/12 12:51:40 (美东)","美股","USD",""
"SBUX","星巴克","买入","50","77.40","3,870.00","2024/08/12 12:30:38 (美东)","美股","USD",""
"MU","美光科技","卖空","100","96.40","9,640.00","2024/08/12 11:18:52 (美东)","美股","USD",""
"MU","美光科技","卖空","100","96.25","9,625.00","2024/08/12 11:11:26 (美东)","美股","USD",""
"MU","美光科技","卖空","50","96.10","4,805.00","2024/08/12 11:09:51 (美东)","美股","USD",""
"AMD","美国超微公司","买入","10","137.3496","1,373.50","2024/08/12 11:07:12 (美东)","美股","USD",""
"MU","美光科技","卖空","50","95.90","4,795.00","2024/08/12 11:04:20 (美东)","美股","USD",""
"MU","美光科技","卖空","100","95.60","9,560.00","2024/08/12 10:49:40 (美东)","美股","USD",""
"SBUX","星巴克","卖空","100","78.10","7,810.00","2024/08/12 10:44:03 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","10","137.60","1,376.00","2024/08/12 10:36:38 (美东)","美股","USD",""
"NVDA","英伟达","卖出","5","110.80","554.00","2024/08/12 10:23:39 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","110.00","1,100.00","2024/08/12 10:15:19 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","109.40","1,094.00","2024/08/12 10:12:28 (美东)","美股","USD",""
"SQ","Block","卖出","100","61.10","6,110.00","2024/08/12 10:10:27 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","109.00","1,090.00","2024/08/12 10:09:08 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","108.70","1,087.00","2024/08/12 10:07:46 (美东)","美股","USD",""
"SQ","Block","买入","100","60.50","6,050.00","2024/08/12 09:57:30 (美东)","美股","USD",""
"NVDA","英伟达","买入","15","104.30","1,564.50","2024/08/09 10:29:38 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","103.50","1,035.00","2024/08/09 10:00:22 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","104.10","1,041.00","2024/08/09 09:56:47 (美东)","美股","USD",""
"AMD","美国超微公司","买入","10","134.70","1,347.00","2024/08/09 09:32:02 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","105.20","1,052.00","2024/08/09 08:21:37 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","10","138.10","1,381.00","2024/08/09 04:36:02 (美东)","美股","USD",""
"NVDA","英伟达","卖出","20","106.40","2,128.00","2024/08/09 04:06:50 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","105.30","2,632.50","2024/08/08 13:50:35 (美东)","美股","USD",""
"NVDA","英伟达","卖出","150","104.90","15,735.00","2024/08/08 13:36:15 (美东)","美股","USD",""
"NVDA","英伟达","卖出","150","104.70","15,705.00","2024/08/08 13:32:20 (美东)","美股","USD",""
"NVDA","英伟达","卖出","225","104.40","23,490.00","2024/08/08 13:29:05 (美东)","美股","USD",""
"NVDA","英伟达","买入","30","102.90","3,087.00","2024/08/07 12:05:37 (美东)","美股","USD",""
"AMD","美国超微公司","买入","30","132.10","3,963.00","2024/08/07 12:04:31 (美东)","美股","USD",""
"NVDA","英伟达","买入","145","103.5897","15,020.51","2024/08/07 11:46:05 (美东)","美股","USD",""
"ASML","阿斯麦","买入","5","863.00","4,315.00","2024/08/07 11:45:37 (美东)","美股","USD",""
"NVDA","英伟达","买入","101","104.01","10,505.01","2024/08/07 11:44:23 (美东)","美股","USD",""
"NVDA","英伟达","买入","35","104.01","3,640.35","2024/08/07 11:44:23 (美东)","美股","USD",""
"NVDA","英伟达","买入","264","104.01","27,458.64","2024/08/07 11:44:23 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","5","877.00","4,385.00","2024/08/07 10:47:34 (美东)","美股","USD",""
"ASML","阿斯麦","买入","20","870.00","17,400.00","2024/08/07 09:55:16 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","30","135.50","4,065.00","2024/08/07 09:41:16 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","5","870.00","4,350.00","2024/08/07 05:14:17 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","5","865.00","4,325.00","2024/08/07 04:56:18 (美东)","美股","USD",""
"ASML","阿斯麦","买入","46","842.00","38,732.00","2024/08/06 16:54:18 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","5","855.20","4,276.00","2024/08/06 10:49:07 (美东)","美股","USD",""
"AMD","美国超微公司","买入","40","132.50","5,300.00","2024/08/06 10:48:45 (美东)","美股","USD",""
"AMD","美国超微公司","买入","10","132.50","1,325.00","2024/08/06 10:48:45 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","5","851.00","4,255.00","2024/08/06 10:41:35 (美东)","美股","USD",""
"AMD","美国超微公司","买入","50","132.50","6,625.00","2024/08/06 10:40:51 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","50","133.30","6,665.00","2024/08/06 10:07:57 (美东)","美股","USD",""
"AMD","美国超微公司","买入","50","132.70","6,635.00","2024/08/06 09:34:56 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","6","849.00","5,094.00","2024/08/06 09:33:07 (美东)","美股","USD",""
"ASML","阿斯麦","卖空","40","846.80","33,872.00","2024/08/06 09:32:28 (美东)","美股","USD",""
"AMD","美国超微公司","买入","50","135.10","6,755.00","2024/08/06 08:33:48 (美东)","美股","USD",""
"AMD","美国超微公司","买入","50","134.80","6,740.00","2024/08/06 05:17:20 (美东)","美股","USD",""
"AMD","美国超微公司","买入","19","136.40","2,591.60","2024/08/06 04:16:02 (美东)","美股","USD",""
"AMD","美国超微公司","买入","81","136.40","11,048.40","2024/08/06 04:16:02 (美东)","美股","USD",""
"AMD","美国超微公司","买入","19","136.80","2,599.20","2024/08/06 04:09:17 (美东)","美股","USD",""
"AMD","美国超微公司","买入","68","136.80","9,302.40","2024/08/06 04:09:17 (美东)","美股","USD",""
"AMD","美国超微公司","买入","13","136.80","1,778.40","2024/08/06 04:09:14 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","92","138.12","12,707.04","2024/08/05 19:59:24 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","8","138.12","1,104.96","2024/08/05 19:59:14 (美东)","美股","USD",""
"AMD","美国超微公司","买入","6","134.70","808.20","2024/08/05 14:14:09 (美东)","美股","USD",""
"AMD","美国超微公司","买入","116","134.70","15,625.20","2024/08/05 14:14:08 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","22","139.11","3,060.42","2024/08/05 12:29:56 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","103.20","2,580.00","2024/08/05 12:28:35 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","48","138.40","6,643.20","2024/08/05 12:24:55 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","52","138.40","7,196.80","2024/08/05 12:24:55 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","50","137.60","6,880.00","2024/08/05 11:38:22 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","50","136.50","6,825.00","2024/08/05 11:17:28 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","40","136.00","5,440.00","2024/08/05 11:14:59 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","80","135.50","10,840.00","2024/08/05 10:54:13 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","20","134.70","2,694.00","2024/08/05 10:35:16 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","20","134.40","2,688.00","2024/08/05 10:19:28 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","20","133.70","2,674.00","2024/08/05 10:18:19 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","5","133.20","666.00","2024/08/05 10:01:32 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","1","133.20","133.20","2024/08/05 10:01:32 (美东)","美股","USD",""
