"代码","名称","方向","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪"
"SQQQ","三倍做空纳指ETF-ProShares","买入","40","68.58","2,743.20","2026/04/08 01:28:37 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","20","69.08","1,381.60","2026/04/07 21:52:55 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","20","69.30","1,386.00","2026/04/07 20:49:29 (美东)","美股","USD",""
"ADBE","Adobe","卖出","10","240.53","2,405.30","2026/04/01 21:31:37 (美东)","美股","USD",""
"ADBE","Adobe","买入","10","235.20","2,352.00","2026/04/01 09:49:18 (美东)","美股","USD",""
"ADBE","Adobe","买入","10","236.70","2,367.00","2026/04/01 09:47:40 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","4","431.00","1,724.00","2026/03/31 19:55:24 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","7","422.20","2,955.40","2026/03/24 21:49:08 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","10","420.18","4,201.80","2026/03/24 21:08:59 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","25","418.00","10,450.00","2026/03/24 19:50:00 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","10","378.00","3,780.00","2026/03/23 03:19:09 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","5","381.20","1,906.00","2026/03/23 03:08:10 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","3","385.50","1,156.50","2026/03/23 02:43:53 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","2","385.50","771.00","2026/03/23 02:43:53 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","5","388.40","1,942.00","2026/03/23 02:32:51 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","5","389.57","1,947.85","2026/03/23 02:30:09 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","5","420.80","2,104.00","2026/03/20 10:15:20 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","15","434.70","6,520.50","2026/03/20 04:21:38 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖出","18","433.50","7,803.00","2026/03/20 04:16:19 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","8","424.00","3,392.00","2026/03/19 08:14:02 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","10","427.20","4,272.00","2026/03/19 08:00:27 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","10","431.00","4,310.00","2026/03/19 04:42:22 (美东)","美股","USD",""
