date,code,name,qty,price,pnl,ccy
2024-08-05,NVDA,英伟达,55.0,100.5,123.5,USD
2024-08-05,NVDA,英伟达,50.0,101.4,207.0,USD
2024-08-05,GOOG,谷歌-C,80.0,159.86,4.8,USD
2024-08-05,PYPL,PayPal,80.0,58.9,32.0,USD
2024-08-05,PYPL,PayPal,50.0,58.9,20.0,USD
2024-08-05,PYPL,PayPal,50.0,58.9,20.0,USD
2024-08-05,AMZN,亚马逊,54.0,161.3,92.88,USD
2024-08-05,AMZN,亚马逊,20.0,161.3,34.4,USD
2024-08-05,AMZN,亚马逊,3.0,161.3,5.16,USD
2024-08-05,AMZN,亚马逊,3.0,161.3,5.16,USD
2024-08-05,AMZN,亚马逊,15.0,156.67,-20.25,USD
2024-08-05,NVDA,英伟达,15.0,95.8,-18.15,USD
2024-08-05,NVDA,英伟达,100.0,95.8,-81.25,USD
2024-08-05,NVDA,英伟达,30.0,96.4,11.7,USD
2024-08-05,NVDA,英伟达,120.0,96.4,60.5,USD
2024-08-05,NVDA,英伟达,100.0,96.8,161.28,USD
2024-08-05,NVDA,英伟达,50.0,97.5,135.0,USD
2024-08-05,NVDA,英伟达,50.0,98.3,185.5,USD
2024-08-05,NVDA,英伟达,20.0,99.3,104.0,USD
2024-08-05,NVDA,英伟达,30.0,99.5,162.0,USD
2024-08-05,NVDA,英伟达,25.0,101.0,172.5,USD
2024-08-05,AMD,美国超微公司,8.0,133.2,0.0,USD
2024-08-05,AMD,美国超微公司,5.0,133.2,0.0,USD
2024-08-05,AMD,美国超微公司,1.0,133.2,0.0,USD
2024-08-05,AMD,美国超微公司,6.0,133.2,0.0,USD
2024-08-05,AMD,美国超微公司,20.0,133.7,0.0,USD
2024-08-05,AMD,美国超微公司,20.0,134.4,0.0,USD
2024-08-05,AMD,美国超微公司,20.0,134.7,0.0,USD
2024-08-05,AMD,美国超微公司,80.0,135.5,0.0,USD
2024-08-05,AMD,美国超微公司,40.0,136.0,0.0,USD
2024-08-05,AMD,美国超微公司,50.0,136.5,0.0,USD
2024-08-05,AMD,美国超微公司,50.0,137.6,0.0,USD
2024-08-05,AMD,美国超微公司,48.0,138.4,0.0,USD
2024-08-05,AMD,美国超微公司,52.0,138.4,0.0,USD
2024-08-05,NVDA,英伟达,25.0,103.2,233.5,USD
2024-08-05,AMD,美国超微公司,22.0,139.11,0.0,USD
2024-08-05,01519,极兔速递-W,10000.0,5.91,-140.0,HKD
2024-08-05,AMD,美国超微公司,8.0,138.12,27.36,USD
2024-08-05,AMD,美国超微公司,92.0,138.12,314.64,USD
2024-08-06,ASML,阿斯麦,40.0,846.8,0.0,USD
2024-08-06,ASML,阿斯麦,6.0,849.0,0.0,USD
2024-08-06,AMD,美国超微公司,50.0,133.3,-128.8,USD
2024-08-06,ASML,阿斯麦,5.0,851.0,0.0,USD
2024-08-06,ASML,阿斯麦,5.0,855.2,0.0,USD
