date,code,name,type,qty,price,pnl,ccy
2024-08-12,AMD,美国超微公司,平空,10.0,137.3496,2.5,USD
2024-08-12,SBUX,星巴克,平空,50.0,77.4,35.0,USD
2024-08-12,MU,美光科技,平空,100.0,95.0,60.0,USD
2024-08-12,MU,美光科技,平空,100.0,94.8,120.0,USD
2024-08-12,SBUX,星巴克,平空,50.0,76.7,70.0,USD
2024-08-12,MU,美光科技,平空,100.0,94.3,195.0,USD
2024-08-13,NVDA,英伟达,平多,5.0,111.18,34.4,USD
2024-08-13,MU,美光科技,平空,100.0,96.35,5.0,USD
2024-08-13,NVDA,英伟达,平空,40.0,113.0,-21.0,USD
2024-08-27,SBUX,星巴克,平空,25.0,98.47,-329.25,USD
2024-08-27,SBUX,星巴克,平空,26.0,98.48,-341.68,USD
2024-08-27,SBUX,星巴克,平空,2.0,98.47,-24.34,USD
2024-08-27,SBUX,星巴克,平空,1.0,98.47,-12.17,USD
2024-08-27,SBUX,星巴克,平空,1.0,98.47,-12.17,USD
2024-09-13,SBUX,星巴克,平空,7.0,98.8075,-87.55,USD
2024-11-01,SBUX,星巴克,平空,8.0,98.89,-100.72,USD
2024-11-11,SBUX,星巴克,平空,30.0,99.7995,-404.98,USD
2024-11-22,SBUX,星巴克,平空,55.0,101.8988,-830.43,USD
2024-11-22,SBUX,星巴克,平空,7.0,102.1999,-107.8,USD
2024-11-25,SBUX,星巴克,平空,23.0,103.262,-378.63,USD
2025-01-21,SBUX,星巴克,平空,36.0,96.65,-342.0,USD
2025-01-21,SBUX,星巴克,平空,31.0,97.8,-322.4,USD
2025-01-24,SBUX,星巴克,平空,29.0,98.9181,-334.02,USD
2025-01-27,SBUX,星巴克,平空,7.0,99.2559,-82.99,USD
2025-01-29,SBUX,星巴克,平空,153.0,106.0046,-2709.1,USD
2025-01-29,SBUX,星巴克,平空,42.0,108.7373,-837.37,USD
2025-02-04,SBUX,星巴克,平空,20.0,111.0198,-442.0,USD
2025-02-04,SBUX,星巴克,平空,14.0,111.0198,-299.88,USD
2025-02-04,SBUX,星巴克,平空,3.0,111.0198,-64.26,USD
2025-02-07,SBUX,星巴克,平空,13.0,112.07,-292.11,USD
2025-02-14,SBUX,星巴克,平空,4.0,112.485,-91.54,USD
2025-02-24,SBUX,星巴克,平空,4.0,112.86,-93.04,USD
2025-02-27,SBUX,星巴克,平空,31.0,115.5873,-799.01,USD
2025-02-28,SBUX,星巴克,平空,4.0,116.0098,-104.44,USD
2025-03-03,SBUX,星巴克,平空,8.0,116.3194,-211.36,USD
2025-03-03,SBUX,星巴克,平空,5.0,116.8757,-134.88,USD
2025-03-24,SBUX,星巴克,平空,96.0,97.0,-674.1,USD
2025-03-24,SBUX,星巴克,平空,50.0,96.6,-362.2,USD
2025-03-24,SBUX,星巴克,平空,16.0,96.5,-125.44,USD
2025-03-24,SBUX,星巴克,平空,34.0,96.5,-266.56,USD
2025-03-25,01519,极兔速递-W,平空,6000.0,5.48,2580.0,HKD
2025-04-03,SBUX,星巴克,平空,100.0,88.2,503.0,USD
2025-04-04,SBUX,星巴克,平空,50.0,87.91,517.0,USD
2025-04-04,SBUX,星巴克,平空,4.0,87.95,45.0,USD
2025-04-04,SBUX,星巴克,平空,45.0,87.05,546.75,USD
2025-04-04,GOOG,谷歌-C,平多,50.0,150.14,-73.0,USD
2025-04-04,MU,美光科技,平多,41.0,70.5,-226.32,USD
2025-04-04,MU,美光科技,平多,100.0,70.5,-552.0,USD
2025-04-04,MU,美光科技,平多,100.0,70.5,-422.03,USD
2025-04-04,MU,美光科技,平多,7.0,70.5,-16.45,USD
2025-04-04,MU,美光科技,平多,59.0,70.5,-89.35,USD
2025-04-04,MU,美光科技,平多,13.0,70.5,-19.5,USD
2025-04-04,MU,美光科技,平多,18.0,70.5,-27.0,USD
2025-04-04,SBUX,星巴克,平空,1.0,83.3,15.9,USD
2025-04-04,NVDA,英伟达,平多,51.0,96.7,-35.1,USD
2025-04-04,NVDA,英伟达,平多,49.0,96.7,-4.9,USD
2025-04-04,NVDA,英伟达,平多,50.0,97.5903,79.01,USD
2025-04-04,NVDA,英伟达,平多,25.0,98.2006,67.51,USD
2025-04-04,XYZ,Block,平多,100.0,50.0,60.0,USD
2025-04-04,XYZ,Block,平多,50.0,50.3,52.5,USD
2025-04-04,XYZ,Block,平多,150.0,47.94,-181.5,USD
2025-04-04,MU,美光科技,平多,50.0,66.4,20.0,USD
2025-04-04,NVDA,英伟达,平多,100.0,95.2,-30.0,USD
2025-04-04,NVDA,英伟达,平多,25.0,96.0,67.5,USD
2025-04-04,NVDA,英伟达,平多,50.0,92.61,-46.88,USD
2025-04-07,XYZ,Block,平多,20.0,46.28,3.4,USD
2025-04-07,XYZ,Block,平多,30.0,46.27,4.8,USD
2025-04-07,NVDA,英伟达,平多,80.0,89.01,-18.0,USD
2025-04-07,01519,极兔速递-W,平空,2000.0,4.83,2160.0,HKD
2025-04-07,NVDA,英伟达,平多,50.0,98.0,611.8,USD
2025-04-07,01519,极兔速递-W,平多,2000.0,4.78,-100.0,HKD
2025-04-08,NVDA,英伟达,平多,25.0,100.2,367.95,USD
2025-04-08,NVDA,英伟达,平多,25.0,101.38,409.25,USD
2025-04-08,AVGO,博通,平空,221.0,162.2,85.2,USD
2025-04-09,XYZ,Block,平多,20.0,47.65,-43.0,USD
2025-04-09,XYZ,Block,平多,1.0,47.56,-2.24,USD
